Date,TimeStart,TimeEnd,Elapsed,Temperature,Weather,Location,Barn.in.out.,Animal,Sex,Treatment,Collard,CollarIssue,RelDay,AdjObTime,pro.SHU,pro.SHD,pro.lay,pro.headshake,pro.walk,pro.FHU,pro.FHD,pro.scratch,pro.social,pro.oov,TotalObs,ModTotObs
11/3/2015,9:00,9:10,10,8,Sunny,Meade,out,Loretta,Female,control,No,No,12,3,0.15,0,0,0,0.225,0.625,0,0,0,0,40,40
11/3/2015,9:13,9:23,10,9,Sunny,Meade,out,Shadow,Female,ATS,Yes,No,12,3,0.075,0,0,0,0.05,0.75,0,0,0.125,0,40,40
11/3/2015,9:13,9:23,10,9,Sunny,Meade,out,Cat,Female,control,No,No,12,3,0.1,0,0,0,0,0.7,0,0,0.2,0,40,40
11/3/2015,14:33,14:43,10,22,Sunny,Rivinus,out,Tex,Male,Vectronic,Yes,No,0,2,0,0,0,0.244444444,0.466666667,0,0,0.288888889,0,NA,45,45
11/3/2015,14:45,14:55,10,22,Sunny,Rivinus,out,Dr. Bob,Male,control,No,No,0,2,0.125,0,0,0,0.45,0,0.425,0,0,0,40,40
11/4/2015,10:18,10:28,10,18,Sunny,Meade,out,Cat,Female,control,No,No,13,3,0,0,0,0,0,0,1,0,0,0,40,40
11/4/2015,10:45,10:55,10,18,Sunny,Meade,out,Scout,Female,ATS,Yes,No,13,3,0.225,0,0,0,0.225,0,0.55,0,0,0,40,40
11/4/2015,10:45,10:55,10,18,Sunny,Meade,out,Shadow,Female,ATS,Yes,No,13,3,0,0,0,0,0,0,1,0,0,0,40,40
11/4/2015,10:30,10:40,10,18,Sunny,Meade,out,Jena,Female,Vectronic,Yes,No,13,3,0.725,0,0,0.1,0.175,0,0,0,0,0,40,40
11/4/2015,10:30,10:40,10,18,Sunny,Meade,out,Niamey,Female,ATS,Yes,No,2,2,0,0,0,0,0.175,0,0.825,0,0,0,40,40
11/4/2015,10:00,10:10,10,16,Sunny,Meade,out,Ruby,Female,ATS,Yes,No,13,3,0,0,0,0,0,0,1,0,0,0,40,40
11/4/2015,10:18,10:28,10,18,Sunny,Meade,out,Violet,Female,Vectronic,Yes,No,13,3,0.365853659,0,0,0,0,0.43902439,0.195121951,0,0,NA,41,41
11/3/2015,14:59,15:09,10,22,Sunny,Rivinus,out,Lewis,Male,Vectronic,Yes,No,0,2,0.725,0,0,0,0.275,0,0,0,0,0,40,40
11/4/2015,9:45,9:55,10,16,Sunny,Meade,out,Loretta,Female,control,No,No,13,3,0.675,0.225,0,0,0.1,0,0,0,0,0,40,40
11/4/2015,9:45,9:55,10,16,Sunny,Meade,out,Chari,Female,Vectronic,Yes,No,2,2,0,0,0,0,0,0,0.75,0,0,0.25,30,40
11/4/2015,10:00,10:10,10,16,Sunny,Meade,out,Bamako,Female,ATS,Yes,No,13,3,0.225,0,0,0,0,0.25,0.425,0,0,0.1,36,40
11/5/2015,8:45,8:55,10,17,Sunny,Meade,out,Loretta,Female,control,No,No,14,3,0.325,0,0,0,0.15,0.325,0.2,0,0,0,40,40
11/5/2015,8:45,8:55,10,17,Sunny,Meade,out,Ruby,Female,ATS,Yes,No,14,3,0.175,0,0,0,0.15,0,0.5,0.075,0.05,0.05,38,40
11/5/2015,9:06,9:16,10,17,Sunny,Meade,out,Violet,Female,Vectronic,Yes,No,14,3,0,0,0.317073171,0,0,0.097560976,0.512195122,0,0.073170732,NA,41,41
11/5/2015,9:06,9:16,10,17,Sunny,Meade,out,Bamako,Female,ATS,Yes,No,14,3,0.075,0,0,0,0.1,0,0.825,0,0,0,40,40
11/5/2015,9:32,9:42,10,18,Sunny,Meade,out,Chari,Female,Vectronic,Yes,No,3,2,0.05,0,0.45,0,0.15,0,0.35,0,0,0,40,40
11/5/2015,9:32,9:42,10,18,Sunny,Meade,out,Shadow,Female,ATS,Yes,No,14,3,0,0,0,0.025,0,0,0.975,0,0,0,40,40
11/5/2015,9:20,9:30,10,18,Sunny,Meade,out,Jena,Female,Vectronic,Yes,No,14,3,0.125,0,0,0,0,0.3,0.575,0,0,0,40,40
11/5/2015,9:20,9:30,10,18,Sunny,Meade,out,Cat,Female,control,No,No,14,3,0.075,0,0,0,0.2,0.125,0.425,0,0.175,0,40,40
